n,Ln,Rn,Mn
3300,5.997576124885,6.002424609734,5.999999816345
3320,5.997590724343,6.002410001452,5.999999818551
3340,5.997605148983,6.002395568145,5.999999820718
3360,5.997619401927,6.002381306689,5.999999822846
3380,5.997633486222,6.002367214033,5.999999824936
3400,5.997647404844,6.002353287197,5.999999826990
3420,5.997661160699,6.002339523272,5.999999829007
3440,5.997674756625,6.002325919416,5.999999830990
3460,5.997688195396,6.002312472852,5.999999832938
3480,5.997701479720,6.002299180869,5.999999834853
3500,5.997714612245,6.002286040816,5.999999836735
3520,5.997727595558,6.002273050103,5.999999838585
3540,5.997740432187,6.002260206199,5.999999840403
3560,5.997753124605,6.002247506628,5.999999842192
3580,5.997765675229,6.002234948972,5.999999843950
3600,5.997778086420,6.002222530864,5.999999845679
3620,5.997790360490,6.002210249992,5.999999847380
3640,5.997802499698,6.002198104094,5.999999849052
3660,5.997814506256,6.002186090955,5.999999850697
3680,5.997826382325,6.002174208412,5.999999852316
3700,5.997838130022,6.002162454346,5.999999853908
3720,5.997849751416,6.002150826685,5.999999855475
3740,5.997861248534,6.002139323401,5.999999857016
3760,5.997872623359,6.002127942508,5.999999858533
3780,5.997883877831,6.002116682064,5.999999860026
3800,5.997895013850,6.002105540166,5.999999861496
3820,5.997906033278,6.002094514953,5.999999862942
3840,5.997916937934,6.002083604601,5.999999864366
3860,5.997927729603,6.002072807324,5.999999865768
3880,5.997938410033,6.002062121373,5.999999867148
3900,5.997948980934,6.002051545036,5.999999868508
3920,5.997959443982,6.002041076635,5.999999869846
3940,5.997969800819,6.002030714525,5.999999871164
3960,5.997980053056,6.002020457096,5.999999872462
3980,5.997990202268,6.002010302770,5.999999873741
4000,5.998000250000,6.002000250000,5.999999875000
4020,5.998010197767,6.001990297270,5.999999876241
4040,5.998020047054,6.001980443094,5.999999877463
4060,5.998029799316,6.001970686015,5.999999878667
4080,5.998039455978,6.001961024606,5.999999879854
4100,5.998049018441,6.001951457466,5.999999881023
4120,5.998058488076,6.001941983222,5.999999882176
4140,5.998067866228,6.001932600527,5.999999883311
4160,5.998077154216,6.001923308062,5.999999884430
4180,5.998086353334,6.001914104531,5.999999885534
4200,5.998095464853,6.001904988662,5.999999886621
4220,5.998104490016,6.001895959210,5.999999887693
4240,5.998113430046,6.001887014952,5.999999888750
4260,5.998122286143,6.001878154687,5.999999889793
4280,5.998131059481,6.001869377238,5.999999890820
4300,5.998139751217,6.001860681449,5.999999891833
4320,5.998148362483,6.001852066187,5.999999892833
4340,5.998156894391,6.001843530336,5.999999893818
4360,5.998165348035,6.001835072805,5.999999894790
4380,5.998173724484,6.001826692521,5.999999895749
4400,5.998182024793,6.001818388430,5.999999896694
4420,5.998190249995,6.001810159497,5.999999897627
4440,5.998198401104,6.001802004707,5.999999898547
4460,5.998206479117,6.001793923063,5.999999899455
4480,5.998214485013,6.001785913584,5.999999900351
4500,5.998222419753,6.001777975309,5.999999901235
4520,5.998230284282,6.001770107291,5.999999902107
4540,5.998238079528,6.001762308603,5.999999902967
4560,5.998245806402,6.001754578332,5.999999903817
4580,5.998253465800,6.001746915581,5.999999904655
4600,5.998261058601,6.001739319471,5.999999905482
4620,5.998268585671,6.001731789134,5.999999906299
4640,5.998276047860,6.001724323722,5.999999907105
4660,5.998283446002,6.001716922397,5.999999907900
4680,5.998290780919,6.001709584338,5.999999908686
4700,5.998298053418,6.001702308737,5.999999909461
4720,5.998305264292,6.001695094800,5.999999910227
4740,5.998312414321,6.001687941747,5.999999910983
4760,5.998319504272,6.001680848810,5.999999911729
4780,5.998326534900,6.001673815234,5.999999912467
4800,5.998333506944,6.001666840278,5.999999913194
4820,5.998340421136,6.001659923211,5.999999913913
4840,5.998347278191,6.001653063315,5.999999914623
4860,5.998354078816,6.001646259886,5.999999915325
4880,5.998360823703,6.001639512228,5.999999916017
4900,5.998367513536,6.001632819658,5.999999916701
4920,5.998374148985,6.001626181506,5.999999917377
4940,5.998380730712,6.001619597109,5.999999918045
4960,5.998387259365,6.001613065817,5.999999918704
4980,5.998393735585,6.001606586991,5.999999919356
5000,5.998400160000,6.001600160000,5.999999920000
5020,5.998406533230,6.001593784226,5.999999920636
5040,5.998412855883,6.001587459058,5.999999921265
5060,5.998419128560,6.001581183896,5.999999921886
5080,5.998425351851,6.001574958150,5.999999922500
5100,5.998431526336,6.001568781238,5.999999923106
5120,5.998437652588,6.001562652588,5.999999923706
5140,5.998443731169,6.001556571636,5.999999924299
5160,5.998449762634,6.001550537828,5.999999924884
5180,5.998455747529,6.001544550618,5.999999925463
5200,5.998461686391,6.001538609467,5.999999926035
5220,5.998467579748,6.001532713847,5.999999926601
5240,5.998473428122,6.001526863236,5.999999927160
5260,5.998479232026,6.001521057121,5.999999927713
5280,5.998484991965,6.001515294995,5.999999928260
5300,5.998490708437,6.001509576362,5.999999928800
5320,5.998496381932,6.001503900729,5.999999929335
5340,5.998502012933,6.001498267615,5.999999929863
5360,5.998507601916,6.001492676543,5.999999930385
5380,5.998513149348,6.001487127044,5.999999930902
5400,5.998518655693,6.001481618656,5.999999931413
5420,5.998524121404,6.001476150924,5.999999931918
5440,5.998529546929,6.001470723400,5.999999932418
5460,5.998534932711,6.001465335641,5.999999932912
5480,5.998540279184,6.001459987213,5.999999933401
5500,5.998545586777,6.001454677686,5.999999933884
5520,5.998550855913,6.001449406637,5.999999934363
5540,5.998556087008,6.001444173650,5.999999934836
5560,5.998561280472,6.001438978314,5.999999935304
5580,5.998566436711,6.001433820223,5.999999935767
5600,5.998571556122,6.001428698980,5.999999936225
5620,5.998576639100,6.001423614189,5.999999936678
5640,5.998581686032,6.001418565465,5.999999937126
5660,5.998586697299,6.001413552423,5.999999937569
5680,5.998591673279,6.001408574688,5.999999938008
5700,5.998596614343,6.001403631887,5.999999938443
5720,5.998601520857,6.001398723654,5.999999938872
5740,5.998606393182,6.001393849628,5.999999939298
5760,5.998611231674,6.001389009452,5.999999939718
5780,5.998616036685,6.001384202775,5.999999940135
5800,5.998620808561,6.001379429251,5.999999940547
5820,5.998625547644,6.001374688537,5.999999940955
5840,5.998630254269,6.001369980296,5.999999941359
5860,5.998634928770,6.001365304197,5.999999941758
5880,5.998639571475,6.001360659910,5.999999942154
5900,5.998644182706,6.001356047113,5.999999942545
5920,5.998648762783,6.001351465486,5.999999942933
5940,5.998653312020,6.001346914714,5.999999943316
5960,5.998657830728,6.001342394487,5.999999943696
5980,5.998662319213,6.001337904498,5.999999944072
6000,5.998666777778,6.001333444444,5.999999944444
6020,5.998671206720,6.001329014029,5.999999944813
6040,5.998675606333,6.001324612956,5.999999945178
6060,5.998679976909,6.001320240935,5.999999945539
6080,5.998684318733,6.001315897680,5.999999945897
6100,5.998688632088,6.001311582908,5.999999946251
6120,5.998692917254,6.001307296339,5.999999946602
6140,5.998697174506,6.001303037698,5.999999946949
6160,5.998701404115,6.001298806713,5.999999947293
6180,5.998705606351,6.001294603115,5.999999947634
6200,5.998709781478,6.001290426639,5.999999947971
6220,5.998713929757,6.001286277024,5.999999948305
6240,5.998718051446,6.001282154011,5.999999948636
6260,5.998722146802,6.001278057345,5.999999948963
6280,5.998726216074,6.001273986774,5.999999949288
6300,5.998730259511,6.001269942051,5.999999949609
6320,5.998734277359,6.001265922929,5.999999949928
6340,5.998738269860,6.001261929166,5.999999950243
6360,5.998742237253,6.001257960524,5.999999950556
6380,5.998746179774,6.001254016765,5.999999950865
6400,5.998750097656,6.001250097656,5.999999951172
6420,5.998753991130,6.001246202968,5.999999951476
6440,5.998757860422,6.001242332472,5.999999951777
6460,5.998761705758,6.001238485944,5.999999952075
6480,5.998765527359,6.001234663161,5.999999952370
6500,5.998769325444,6.001230863905,5.999999952663
6520,5.998773100230,6.001227087960,5.999999952953
6540,5.998776851930,6.001223335110,5.999999953240
6560,5.998780580755,6.001219605146,5.999999953525
6580,5.998784286915,6.001215897858,5.999999953807
6600,5.998787970615,6.001212213039,5.999999954086
6620,5.998791632059,6.001208550488,5.999999954363
6640,5.998795271447,6.001204910001,5.999999954638
6660,5.998798888979,6.001201291381,5.999999954910
6680,5.998802484851,6.001197694431,5.999999955179
6700,5.998806059256,6.001194118957,5.999999955447
6720,5.998809612387,6.001190564768,5.999999955711
6740,5.998813144432,6.001187031672,5.999999955974
6760,5.998816655579,6.001183519485,5.999999956234
6780,5.998820146013,6.001180028019,5.999999956492
6800,5.998823615917,6.001176557093,5.999999956747
6820,5.998827065471,6.001173106526,5.999999957001
6840,5.998830494853,6.001169676140,5.999999957252
6860,5.998833904241,6.001166265757,5.999999957501
6880,5.998837293807,6.001162875203,5.999999957747
6900,5.998840663726,6.001159504306,5.999999957992
6920,5.998844014167,6.001156152895,5.999999958234
6940,5.998847345298,6.001152820802,5.999999958475
6960,5.998850657286,6.001149507861,5.999999958713
6980,5.998853950296,6.001146213906,5.999999958949
7000,5.998857224490,6.001142938776,5.999999959184
7020,5.998860480029,6.001139682308,5.999999959416
7040,5.998863717071,6.001136444344,5.999999959646
7060,5.998866935775,6.001133224727,5.999999959874
7080,5.998870136295,6.001130023301,5.999999960101
7100,5.998873318786,6.001126839913,5.999999960325
7120,5.998876483399,6.001123674410,5.999999960548
7140,5.998879630283,6.001120526642,5.999999960769
7160,5.998882759589,6.001117396461,5.999999960987
7180,5.998885871463,6.001114283719,5.999999961205
7200,5.998888966049,6.001111188272,5.999999961420
7220,5.998892043493,6.001108109975,5.999999961633
7240,5.998895103935,6.001105048686,5.999999961845
7260,5.998898147516,6.001102004265,5.999999962055
7280,5.998901174375,6.001098976573,5.999999962263
7300,5.998904184650,6.001095965472,5.999999962470
7320,5.998907178477,6.001092970826,5.999999962674
7340,5.998910155989,6.001089992501,5.999999962877
7360,5.998913117320,6.001087030364,5.999999963079
7380,5.998916062602,6.001084084283,5.999999963279
7400,5.998918991965,6.001081154127,5.999999963477
7420,5.998921905537,6.001078239769,5.999999963674
7440,5.998924803445,6.001075341080,5.999999963869
7460,5.998927685817,6.001072457935,5.999999964062
7480,5.998930552775,6.001069590208,5.999999964254
7500,5.998933404444,6.001066737778,5.999999964444
7520,5.998936240946,6.001063900521,5.999999964633
7540,5.998939062401,6.001061078316,5.999999964821
7560,5.998941868929,6.001058271045,5.999999965007
7580,5.998944660647,6.001055478589,5.999999965191
7600,5.998947437673,6.001052700831,5.999999965374
7620,5.998950200123,6.001049937655,5.999999965555
7640,5.998952948110,6.001047188948,5.999999965736
7660,5.998955681748,6.001044454594,5.999999965914
7680,5.998958401150,6.001041734483,5.999999966092
7700,5.998961106426,6.001039028504,5.999999966267
7720,5.998963797686,6.001036336546,5.999999966442
7740,5.998966475038,6.001033658501,5.999999966615
7760,5.998969138591,6.001030994261,5.999999966787
7780,5.998971788450,6.001028343720,5.999999966958
7800,5.998974424721,6.001025706772,5.999999967127
7820,5.998977047508,6.001023083313,5.999999967295
7840,5.998979656914,6.001020473240,5.999999967461
7860,5.998982253041,6.001017876451,5.999999967627
7880,5.998984835992,6.001015292844,5.999999967791
7900,5.998987405864,6.001012722320,5.999999967954
7920,5.998989962759,6.001010164779,5.999999968116
7940,5.998992506773,6.001007620123,5.999999968276
7960,5.998995038004,6.001005088255,5.999999968435
7980,5.998997556548,6.001002569079,5.999999968593
8000,5.999000062500,6.001000062500,5.999999968750
8020,5.999002555954,6.000997568423,5.999999968906
8040,5.999005037004,6.000995086755,5.999999969060
8060,5.999007505742,6.000992617404,5.999999969214
8080,5.999009962259,6.000990160278,5.999999969366
8100,5.999012406645,6.000987715287,5.999999969517
8120,5.999014838991,6.000985282341,5.999999969667
8140,5.999017259386,6.000982861351,5.999999969816
8160,5.999019667916,6.000980452230,5.999999969963
8180,5.999022064670,6.000978054890,5.999999970110
8200,5.999024449732,6.000975669244,5.999999970256
8220,5.999026823190,6.000973295209,5.999999970400
8240,5.999029185126,6.000970932699,5.999999970544
8260,5.999031535625,6.000968581630,5.999999970686
8280,5.999033874770,6.000966241919,5.999999970828
8300,5.999036202642,6.000963913485,5.999999970968
8320,5.999038519323,6.000961596246,5.999999971108
8340,5.999040824894,6.000959290122,5.999999971246
8360,5.999043119434,6.000956995032,5.999999971383
8380,5.999045403022,6.000954710898,5.999999971520
8400,5.999047675737,6.000952437642,5.999999971655
8420,5.999049937656,6.000950175185,5.999999971790
8440,5.999052188855,6.000947923452,5.999999971923
8460,5.999054429411,6.000945682366,5.999999972056
8480,5.999056659398,6.000943451851,5.999999972188
8500,5.999058878893,6.000941231834,5.999999972318
8520,5.999061087968,6.000939022240,5.999999972448
8540,5.999063286696,6.000936822996,5.999999972577
8560,5.999065475151,6.000934634029,5.999999972705
8580,5.999067653403,6.000932455268,5.999999972832
8600,5.999069821525,6.000930286641,5.999999972958
8620,5.999071979587,6.000928128079,5.999999973084
8640,5.999074127658,6.000925979510,5.999999973208
8660,5.999076265808,6.000923840865,5.999999973332
8680,5.999078394105,6.000921712077,5.999999973455
8700,5.999080512617,6.000919593077,5.999999973576
8720,5.999082621412,6.000917483798,5.999999973697
8740,5.999084720557,6.000915384172,5.999999973818
8760,5.999086810117,6.000913294135,5.999999973937
8780,5.999088890157,6.000911213620,5.999999974056
8800,5.999090960744,6.000909142562,5.999999974174
8820,5.999093021940,6.000907080897,5.999999974291
8840,5.999095073811,6.000905028562,5.999999974407
8860,5.999097116418,6.000902985493,5.999999974522
8880,5.999099149826,6.000900951627,5.999999974637
8900,5.999101174094,6.000898926903,5.999999974751
8920,5.999103189286,6.000896911259,5.999999974864
8940,5.999105195462,6.000894904634,5.999999974976
8960,5.999107192682,6.000892906967,5.999999975088
8980,5.999109181006,6.000890918200,5.999999975199
9000,5.999111160494,6.000888938272,5.999999975309
9020,5.999113131204,6.000886967124,5.999999975418
9040,5.999115093194,6.000885004699,5.999999975527
9060,5.999117046523,6.000883050938,5.999999975635
9080,5.999118991248,6.000881105785,5.999999975742
9100,5.999120927424,6.000879169182,5.999999975848
9120,5.999122855109,6.000877241074,5.999999975954
9140,5.999124774359,6.000875321404,5.999999976059
9160,5.999126685227,6.000873410118,5.999999976164
9180,5.999128587770,6.000871507160,5.999999976267
9200,5.999130482042,6.000869612476,5.999999976371
9220,5.999132368095,6.000867726013,5.999999976473
9240,5.999134245985,6.000865847716,5.999999976575
9260,5.999136115763,6.000863977534,5.999999976676
9280,5.999137977482,6.000862115413,5.999999976776
9300,5.999139831194,6.000860261302,5.999999976876
9320,5.999141676951,6.000858415149,5.999999976975
9340,5.999143514804,6.000856576902,5.999999977074
9360,5.999145344802,6.000854746512,5.999999977171
9380,5.999147166998,6.000852923927,5.999999977269
9400,5.999148981440,6.000851109099,5.999999977365
9420,5.999150788177,6.000849301978,5.999999977461
9440,5.999152587259,6.000847502514,5.999999977557
9460,5.999154378735,6.000845710659,5.999999977652
9480,5.999156162652,6.000843926365,5.999999977746
9500,5.999157939058,6.000842149584,5.999999977839
9520,5.999159708001,6.000840380270,5.999999977932
9540,5.999161469527,6.000838618374,5.999999978025
9560,5.999163223683,6.000836863850,5.999999978117
9580,5.999164970515,6.000835116653,5.999999978208
9600,5.999166710069,6.000833376736,5.999999978299
9620,5.999168442391,6.000831644054,5.999999978389
9640,5.999170167525,6.000829918562,5.999999978478
9660,5.999171885515,6.000828200215,5.999999978567
9680,5.999173596407,6.000826488969,5.999999978656
9700,5.999175300244,6.000824784781,5.999999978744
9720,5.999176997070,6.000823087605,5.999999978831
9740,5.999178686928,6.000821397400,5.999999978918
9760,5.999180369860,6.000819714123,5.999999979004
9780,5.999182045910,6.000818037730,5.999999979090
9800,5.999183715119,6.000816368180,5.999999979175
9820,5.999185377529,6.000814705431,5.999999979260
9840,5.999187033181,6.000813049441,5.999999979344
9860,5.999188682118,6.000811400170,5.999999979428
9880,5.999190324378,6.000809757577,5.999999979511
9900,5.999191960004,6.000808121620,5.999999979594
9920,5.999193589035,6.000806492261,5.999999979676
9940,5.999195211511,6.000804869458,5.999999979758
9960,5.999196827471,6.000803253173,5.999999979839
9980,5.999198436954,6.000801643367,5.999999979920
10000,5.999200040000,6.000800040000,5.999999980000
